Nombre,Dulce,Crujiente
Ecolab Crystal Fusion,84,11
Tomatoes,17,72
Veal - Nuckle,48,25
Ocean Spray - Kiwi Strawberry,51,12
Red Currant Jelly,38,69
Soup - Cream Of Broccoli,13,55
"Chilli Paste, Ginger Garlic",76,38
Cheese - Le Cheve Noir,18,85
Longos - Greek Salad,51,67
Aspic - Amber,10,3
Mustard - Dijon,43,99
Bouq All Italian - Primerba,47,2
V8 Splash Strawberry Kiwi,89,99
"Doilies - 5, Paper",47,77
Veal - Insides Provini,7,70
"Chestnuts - Whole,canned",29,44
Longos - Lasagna Veg,95,80
Rosemary - Dry,22,90
"Nut - Peanut, Roasted",88,99
Lid - 0090 Clear,87,39
Spinach - Frozen,65,85
Shallots,20,45
Milk 2% 500 Ml,77,28
Cookies - Englishbay Oatmeal,59,61
Bacardi Mojito,73,97
Wine - Vineland Estate Semi - Dry,94,55
"Vodka - Hot, Lnferno",30,44
Wine - Ice Wine,74,6
"Pasta - Lasagna Noodle, Frozen",68,71
Sour Puss Raspberry,23,24
Ice Cream Bar - Oreo Sandwich,20,51
"Rum - Dark, Bacardi, Black",31,24
Vinegar - White,84,29
Chocolate - Semi Sweet,47,9
Wine - Two Oceans Cabernet,73,7
Chinese Foods - Cantonese,6,42
Napkin White - Starched,92,28
Wine - Vouvray Cuvee Domaine,73,93
Dome Lid Clear P92008h,18,63
Carroway Seed,96,20
Oil - Olive,70,65
The Pop Shoppe Pinapple,64,37
Fireball Whisky,46,20
"Soup - Knorr, Chicken Noodle",15,78
Pickles - Gherkins,42,58
Sprite - 355 Ml,42,25
Oil - Macadamia,88,43
Hersey Shakes,50,100
Water - Spring Water 500ml,100,11
"Croissant, Raw - Mini",97,59
Mushroom - King Eryingii,30,14
Aspic - Clear,31,26
"Tart Shells - Sweet, 2",20,29
Table Cloth 120 Round White,76,3
"Cheese - Cheddar, Medium",62,44
"Wine - White, Riesling, Semi - Dry",28,97
Pants Custom Dry Clean,34,97
Evaporated Milk - Skim,83,73
Vodka - Smirnoff,63,60
Butcher Twine 4r,5,13
"Chilli Paste, Sambal Oelek",74,7
Table Cloth 72x144 White,75,30
Tahini Paste,33,87
Cheese - Cambozola,90,53
"Pepper - Red, Finger Hot",47,100
"Beef - Ox Tongue, Pickled",21,33
Cookie Dough - Oatmeal Rasin,97,42
"Crush - Orange, 355ml",37,87
Dc - Sakura Fu,59,1
Easy Off Oven Cleaner,38,65
Cookies - Amaretto,17,17
Cup - 8oz Coffee Perforated,69,67
Wonton Wrappers,65,59
Cheese - Mozzarella,45,64
Cheese - Bakers Cream Cheese,66,34
Potatoes - Pei 10 Oz,84,5
Pork - Shoulder,17,69
Juice - Mango,25,61
"Pasta - Elbows, Macaroni, Dry",87,26
Coriander - Seed,22,10
Thyme - Fresh,64,4
"Capon - Breast, Wing On",14,52
Coriander - Ground,13,8
Devonshire Cream,87,13
Soup Bowl Clear 8oz92008,35,47
"Beer - Alexander Kieths, Pale Ale",64,33
Cheese - Valancey,74,95
Muffin Batt - Carrot Spice,33,20
Chocolate Eclairs,18,92
Raisin - Dark,58,86
Pork Salted Bellies,94,14
Eggplant - Asian,85,18
Muffin Hinge Container 6,29,30
Sauce - Salsa,72,53
Lamb - Rack,21,16
Pate Pans Yellow,53,25
"Soup - Clam Chowder, Dry Mix",70,22
Dill Weed - Fresh,79,45
"Stock - Chicken, White",36,19
Oneshot Automatic Soap System,27,36
